W3.ID,City/Region (S6.1),State/Province,State/Country (S6.2),Year (S8.2),Country Population,Population Million,Climate Pattern,Precipitation ,Temperature C ,Area (km2),Pop. Density,Household Size ,Urbanization (%),Expense (% of GDP),Unemployment (%),Age (15-64) %,Age (65+) %,Per Capita Energy Demand ,Energy Demand  (Million kWh) ,Country GDP/Capita 2015 $ ,Service,Service GDP%,Education Index (HDI) ,Sustainability Index,Waste Regulations 
1,Phoenix,Arizona,United States,2014, 318.39 ,1.49,BWh,BW,h," 1,338 ",1113.6,2.54,100.00,67.60,6.17,66.32,14.27," 13,036 "," 4,150,538 "," 55,574 ",75.8,80.2,0.892,76.01,Yes
2,Phoenix,Arizona,United States,2003, 290.11 ,1.390,BWh,BW,h," 1,338 ",1038.9,2.57,100.00,67.56,5.99,66.45,12.28," 13,408 "," 3,889,900 "," 50,054 ",74.6,77.5,0.857,76.01,Yes
3,Phoenix,Arizona,United States,2014, 318.39 ,1.490,BWh,BW,h," 1,338 ",1113.6,2.54,100.00,67.60,6.17,66.32,14.27," 13,036 "," 4,150,538 "," 55,574 ",75.8,80.2,0.892,76.01,Yes
4,King,Washington,United States,2019, 328.33 ,2.253,Csb,s,Cb," 5,480 ",411.1,2.52,100.00,67.32,3.67,65.24,16.21," 13,418 "," 4,405,511 "," 60,837 ",77.3,80.8,0.9,76.01,Yes
5,King,Washington,United States,2019, 328.33 ,2.253,Csb,s,Cb," 5,480 ",411.1,2.52,100.00,67.32,3.67,65.24,16.21," 13,418 "," 4,405,511 "," 60,837 ",77.3,80.8,0.9,76.01,Yes
6,Adelaide,,Australia,2007, 20.83 ,1.089,Csb,s,Cb, 842 ,1293.3,2.50,100.00,56.64,4.38,67.62,12.98," 10,888 "," 226,764 "," 52,577 ",64.3,69.2,0.88,75.58,Yes
7,Bamako,,Mali,2007, 13.65 ,1.809,Aw,w,A, 267 ,6775.3,6.16,100.00,70.53,11.71,49.89,2.87, 110 ," 1,506 ", 697 ,36.0,39.6,0.22,52.16,No
8,Belo Horizonte,,Brazil,2007, 190.13 ,2.452,Aw,w,A, 331 ,7407.9,3.31,100.00,59.87,8.33,67.36,6.32," 2,519 "," 479,031 "," 7,937 ",57.7,66.0,0.59,71.34,Yes
9,Bengaluru,,India,2007," 1,183.21 ",7.800,Aw,w,A, 800 ,9750.0,4.42,100.00,55.76,5.57,63.10,4.89, 653 ," 772,511 "," 1,076 ",44.0,48.5,0.45,60.07,Yes
10,Cañete,,Peru,2007, 28.33 ,0.048,BWh,BW,h, 512 ,93.8,4.01,100.00,60.16,4.04,63.02,5.77," 1,039 "," 29,438 "," 4,439 ",47.3,54.7,0.64,71.09,Yes
11,Curepipe,,Mauritius,2007, 1.24 ,0.084,Aw,w,A, 24 ,3500.0,3.48,100.00,66.42,8.48,69.28,6.91," 1,956 "," 2,424 "," 6,939 ",61.9,67.8,0.63,66.71,Yes
12,Delhi,,India,2007," 1,183.21 ",13.850,BSh,BS,h," 1,483 ",9339.2,4.42,100.00,55.76,5.57,63.10,4.89, 653 ," 772,511 "," 1,076 ",44.0,48.5,0.45,60.07,Yes
13,Dhaka,,Bangladesh,2007, 142.66 ,7.000,Aw,w,A, 365 ,19178.1,4.71,100.00,73.89,4.13,62.04,4.52, 205 ," 29,268 ", 856 ,52.9,52.6,0.40,63.45,Yes
14,Ghorahi,,Nepal,2007, 26.38 ,0.059,Cwa,w,Ca, 74 ,797.3,4.64,100.00,80.98,1.33,57.39,4.55, 118 ," 3,126 ", 644 ,48.8,47.7,0.38,66.52,Yes
15,Kunming,,China,2007," 1,317.89 ",3.500,Cwb,w,Cb," 2,200 ",1590.9,3.38,100.00,36.37,4.35,72.99,7.71," 2,289 "," 3,017,115 "," 4,319 ",42.9,40.9,0.57,72.06,Yes
16,Lusaka,,Zambia,2007, 12.50 ,1.500,Cwa,w,Ca, 375 ,4000.0,4.88,100.00,54.59,10.59,50.57,2.19, 741 ," 9,264 "," 1,018 ",47.5,55.9,0.51,53.39,Yes
17,Managua,,Nicaragua,2007, 5.59 ,1.003,Aw,w,A, 289 ,3470.6,4.92,100.00,81.58,4.89,60.73,4.33, 541 ," 3,023 "," 1,675 ",53.3,59.3,0.50,66.29,Yes
18,"Moshi, Tanzania",,Tanzania,2007, 40.68 ,0.184,Aw,w,A, 58 ,3172.4,4.99,100.00,62.64,3.03,52.61,2.52, 104 ," 4,242 ", 685 ,45.5,43.3,0.39,56.43,Yes
19,Nairobi,,Kenya,2007, 38.71 ,4.000,Cfb,f,Cb, 696 ,5747.1,4.25,100.00,74.85,2.89,54.19,2.02, 174 ," 6,721 "," 1,126 ",50.2,54.5,0.48,60.60,Yes
20,Quezon City,,Philippines,2007, 89.41 ,2.861,Am,m,A, 161 ,17770.2,4.76,100.00,72.26,3.43,60.27,3.74, 622 ," 55,652 "," 2,251 ",53.4,53.5,0.62,64.51,Yes
21,Rotterdam,,Netherlands,2007, 16.38 ,0.583,Cfb,f,Cb, 206 ,2830.1,2.23,100.00,46.32,4.15,67.37,14.54," 7,225 "," 118,359 "," 45,121 ",66.3,74.3,0.86,81.56,Yes
22,San Francisco,Califonia,United States,2007, 301.23 ,0.835,Csb,s,Cb, 122 ,6844.3,2.56,100.00,67.44,4.62,66.84,12.47," 13,906 "," 4,188,983 "," 54,273 ",73.9,77.5,0.87,76.01,Yes
23,Sousse,,Tunisia,2007, 10.30 ,0.173,BSh,BS,h, 45 ,3844.4,4.00,100.00,61.57,12.36,68.19,7.46," 1,364 "," 14,060 "," 3,449 ",56.0,61.3,0.60,71.44,Yes
24,Tompkins County,New York,United States,2007, 301.23 ,0.101,Dfb,f,Db," 1,272 ",79.4,2.56,100.00,67.44,4.62,66.84,12.47," 13,906 "," 4,188,983 "," 54,273 ",73.9,77.5,0.87,76.01,Yes
25,Varna,,Bulgaria,2007, 7.55 ,0.314,Cfa,f,Ca, 80 ,3925.0,2.34,100.00,68.51,6.88,68.97,17.59," 4,512 "," 34,046 "," 5,964 ",54.0,62.9,0.74,73.81,Yes
26,Abuja,,Nigeria,2012, 167.23 ,0.776,Aw,w,A, 250 ,3105.2,4.60,100.00,58.60,3.74,53.05,2.76, 167 ," 27,905 "," 2,501 ",50.2,50.8,0.44,48.93,Yes
27,,,Malta,2004, 0.40 ,0.401,Csa,s,Ca, 320 ,1253.1,2.86,93.41,63.20,7.32,68.65,13.39," 5,186 "," 2,081 "," 17,653 ",63.4,74.7,0.70,75.75,Yes
